Semilla;2.1 precision;2.1 kappa;2.1 a precision;2.1bkappa
5;84,481;76,723;84,262;76,395
6;84,342;76,514;84,368;76,554
7;84,799;77,2;84,271;76,408
8;84,153;76,231;84,243;76,367
9;84,641;76,963;84,478;76,719
10;84,578;76,869;84,326;76,491
11;84,539;76,81;84,371;76,558
12;84,457;76,688;84,416;76,627
13;84,369;76,555;84,498;76,749
14;84,547;76,822;84,415;76,624
15;84,648;76,974;84,229;76,345
16;84,626;76,94;84,328;76,494
17;84,513;76,772;84,358;76,539
18;84,434;76,653;84,456;76,685
19;84,605;76,91;84,451;76,679
20;84,568;76,853;84,459;76,69
21;84,518;76,779;84,553;76,831
22;84,657;76,988;84,432;76,65
23;84,543;76,815;84,686;77,03
24;84,754;77,132;84,485;76,729
25;84,646;76,971;84,589;76,886
26;84,586;76,88;84,372;76,559
27;84,488;76,734;84,476;76,716
28;83,529;75,294;83,978;75,968
29;84,591;76,888;84,379;76,57
30;84,505;76,759;84,222;76,335
31;84,553;76,83;84,326;76,49
32;84,528;76,793;84,489;76,736
33;84,609;76,915;84,495;76,744
34;84,344;76,519;84,313;76,471
35;84,502;76,755;84,276;76,415
