Id,Prediction
1,2
2,3
3,3
4,3
5,1
6,3
7,2
8,2
9,3
10,3
11,3
12,1
13,3
14,2
15,0
16,2
17,3
18,2
19,3
20,2
21,2
22,2
23,1
24,1
25,0
26,3
27,0
28,2
29,2
30,2
31,3
32,0
33,1
34,1
35,1
36,2
37,3
38,1
39,3
40,1
41,0
42,3
43,3
44,3
45,3
46,2
47,2
48,1
49,2
50,2
51,3
52,3
53,3
54,3
55,2
56,3
57,2
58,1
59,1
60,2
61,3
62,2
63,3
64,3
65,1
66,3
67,2
68,3
69,3
70,0
71,2
72,1
73,3
74,2
75,3
76,3
77,1
78,3
79,0
80,2
81,2
82,1
83,2
84,3
85,0
86,3
87,3
88,2
89,3
90,3
91,2
92,3
93,3
94,2
95,3
96,3
97,2
98,3
99,3
100,3
101,3
102,3
103,1
104,2
105,3
106,3
107,3
108,0
109,2
110,2
111,0
112,1
113,1
114,1
115,3
116,2
117,3
118,2
119,3
120,2
121,3
122,3
123,2
124,3
125,2
126,3
127,3
128,3
129,2
130,2
131,3
132,3
133,2
134,3
135,2
136,3
137,2
138,1
139,2
140,2
141,2
142,3
143,3
144,2
145,1
146,3
147,1
148,3
149,3
150,2
151,3
152,3
153,3
154,2
155,2
156,3
157,1
158,3
159,2
160,2
161,3
162,3
163,2
164,1
165,2
166,3
167,2
168,2
169,1
170,0
171,1
172,1
173,2
174,2
175,2
176,3
177,3
178,2
179,3
180,3
181,1
182,1
183,1
184,0
185,3
186,2
187,2
188,3
189,3
190,3
191,2
192,3
193,3
194,3
195,3
196,2
197,3
198,1
199,1
200,2
201,1
202,0
203,3
204,1
205,3
206,3
207,2
208,1
209,1
210,1
211,3
212,2
213,3
214,2
215,3
216,3
217,3
218,3
219,1
220,2
221,3
222,2
223,3
224,3
225,3
226,1
227,3
228,3
229,3
230,3
231,2
232,0
233,3
234,2
235,3
236,3
237,1
238,2
239,1
240,3
241,2
242,3
243,1
244,3
245,1
246,3
247,3
248,3
249,1
250,3
251,3
252,1
253,3
254,3
255,3
256,0
257,3
258,3
259,2
260,3
261,3
262,0
263,2
264,3
265,3
266,3
267,3
268,1
269,2
270,2
271,0
272,2
273,3
274,0
275,3
276,3
277,3
278,3
279,3
280,3
281,3
282,2
283,2
284,1
285,2
286,3
287,1
288,3
289,3
290,2
291,2
292,3
293,1
294,3
295,3
296,2
297,2
298,1
299,2
300,1
301,1
302,2
303,3
304,0
305,3
306,1
307,2
308,2
309,3
310,3
311,3
312,1
313,3
314,3
315,3
316,2
317,2
318,3
319,3
320,1
321,3
322,2
323,3
324,1
325,1
326,2
327,3
328,2
329,3
330,3
331,2
332,2
333,0
334,3
335,1
336,2
337,3
338,2
339,2
340,1
341,1
342,3
343,3
344,3
345,2
346,2
347,2
348,2
349,3
350,3
351,3
352,3
353,3
354,2
355,2
356,1
357,3
358,3
359,1
360,3
361,0
362,1
363,3
364,2
365,3
366,3
367,3
368,3
369,3
370,3
371,3
372,3
373,3
374,2
375,2
376,3
377,2
378,1
379,3
380,2
381,3
382,3
383,3
384,1
385,3
386,3
387,3
388,3
389,3
390,1
391,3
392,3
393,3
394,3
395,2
396,1
397,3
398,3
399,3
400,3
401,3
402,2
403,2
404,2
405,2
406,2
407,3
408,3
409,1
410,3
411,3
412,3
413,3
414,1
415,2
416,1
417,3
418,1
419,2
420,2
421,3
422,2
423,2
424,2
425,2
426,2
427,1
428,2
429,1
430,3
431,3
432,3
433,3
434,2
435,1
436,3
437,3
438,2
439,1
440,1
441,3
442,1
443,1
444,3
445,3
446,3
447,3
448,3
449,3
450,1
451,3
452,2
453,3
454,0
455,3
456,3
457,2
458,2
459,3
460,3
461,2
462,1
463,3
464,3
465,3
466,3
467,3
468,2
469,3
470,2
471,2
472,3
473,2
474,1
475,2
476,3
477,3
478,3
479,0
480,3
481,3
482,2
483,3
484,3
485,3
486,0
487,3
488,2
489,1
490,3
491,3
492,1
493,3
494,3
495,3
496,3
497,2
498,3
499,3
500,2
501,1
502,2
503,2
504,3
505,1
506,1
507,2
508,2
509,3
510,3
511,3
512,3
513,1
514,3
515,2
516,3
517,3
518,2
519,3
520,1
521,3
522,2
523,3
524,3
525,3
526,3
527,3
528,1
529,3
530,2
531,2
532,1
533,1
534,2
535,3
536,3
537,3
538,3
539,3
540,2
541,1
542,2
543,1
544,2
545,3
546,3
547,1
548,3
549,3
550,3
551,1
552,3
553,2
554,1
555,3
556,2
557,3
558,3
559,3
560,3
561,2
562,0
563,3
564,1
565,3
566,2
567,1
568,3
569,3
570,2
571,3
572,2
573,0
574,3
575,2
576,1
577,2
578,2
579,1
580,3
581,2
582,1
583,2
584,3
585,3
586,2
587,1
588,3
589,0
590,0
591,2
592,2
593,3
594,2
595,2
596,3
597,2
598,2
599,1
600,3
601,3
602,3
603,2
604,3
605,2
606,3
607,3
608,2
609,3
610,3
611,1
612,2
613,3
614,3
615,3
616,2
617,2
618,2
619,1
620,3
621,2
622,2
623,3
624,2
625,0
626,3
627,3
628,3
629,1
630,3
631,3
632,3
633,3
634,1
635,3
636,2
637,2
638,2
639,3
640,2
641,3
642,3
643,3
644,3
645,3
646,2
647,3
648,2
649,3
650,0
651,3
652,3
653,1
654,3
655,1
656,2
657,3
658,3
659,2
660,0
661,2
662,2
663,3
664,2
665,1
666,3
667,3
668,1
669,3
670,3
671,3
672,3
673,1
674,3
675,3
676,3
677,1
678,2
679,3
680,2
681,3
682,3
683,2
