Id,Prediction
1,3
2,3
3,3
4,3
5,2
6,3
7,2
8,1
9,3
10,1
11,3
12,1
13,0
14,3
15,3
16,3
17,3
18,2
19,3
20,3
21,2
22,2
23,1
24,1
25,1
26,3
27,2
28,3
29,3
30,2
31,2
32,1
33,1
34,2
35,1
36,2
37,3
38,3
39,3
40,3
41,0
42,3
43,2
44,3
45,0
46,1
47,2
48,2
49,2
50,3
51,3
52,3
53,2
54,3
55,1
56,3
57,2
58,3
59,1
60,2
61,3
62,3
63,3
64,3
65,1
66,1
67,3
68,3
69,3
70,1
71,3
72,1
73,3
74,2
75,3
76,2
77,2
78,2
79,2
80,3
81,3
82,1
83,2
84,3
85,0
86,3
87,3
88,3
89,3
90,2
91,0
92,0
93,3
94,2
95,3
96,3
97,2
98,3
99,1
100,1
101,2
102,3
103,3
104,2
105,3
106,3
107,3
108,1
109,3
110,1
111,2
112,3
113,2
114,1
115,3
116,1
117,2
118,2
119,3
120,2
121,3
122,3
123,2
124,3
125,3
126,3
127,2
128,2
129,2
130,0
131,3
132,3
133,2
134,3
135,2
136,3
137,2
138,3
139,1
140,3
141,2
142,3
143,0
144,2
145,2
146,3
147,1
148,3
149,3
150,2
151,3
152,3
153,3
154,3
155,0
156,3
157,1
158,2
159,2
160,2
161,3
162,1
163,3
164,3
165,2
166,3
167,2
168,2
169,2
170,0
171,1
172,1
173,2
174,1
175,1
176,2
177,1
178,2
179,3
180,3
181,1
182,3
183,1
184,3
185,2
186,3
187,2
188,2
189,0
190,3
191,3
192,1
193,3
194,2
195,3
196,2
197,2
198,2
199,1
200,2
201,3
202,0
203,3
204,1
205,2
206,3
207,2
208,1
209,2
210,1
211,1
212,2
213,0
214,1
215,1
216,3
217,3
218,3
219,1
220,3
221,3
222,3
223,1
224,1
225,3
226,1
227,3
228,2
229,3
230,3
231,3
232,0
233,3
234,2
235,2
236,3
237,1
238,3
239,1
240,3
241,2
242,3
243,1
244,3
245,3
246,3
247,2
248,2
249,1
250,3
251,3
252,1
253,3
254,3
255,2
256,2
257,3
258,2
259,2
260,3
261,1
262,1
263,3
264,1
265,3
266,1
267,3
268,1
269,3
270,3
271,1
272,2
273,3
274,3
275,3
276,3
277,3
278,3
279,0
280,2
281,3
282,3
283,3
284,1
285,3
286,3
287,2
288,3
289,1
290,3
291,3
292,3
293,1
294,3
295,3
296,1
297,0
298,2
299,2
300,1
301,3
302,2
303,3
304,0
305,3
306,3
307,2
308,2
309,3
310,3
311,3
312,1
313,3
314,3
315,3
316,0
317,2
318,3
319,1
320,3
321,3
322,2
323,3
324,2
325,2
326,2
327,0
328,2
329,3
330,3
331,2
332,2
333,3
334,0
335,1
336,3
337,1
338,3
339,2
340,3
341,2
342,3
343,3
344,3
345,2
346,3
347,2
348,2
349,3
350,3
351,2
352,1
353,2
354,2
355,2
356,2
357,2
358,3
359,3
360,3
361,1
362,3
363,0
364,3
365,1
366,3
367,1
368,3
369,3
370,3
371,2
372,3
373,3
374,2
375,2
376,3
377,3
378,1
379,3
380,2
381,1
382,3
383,3
384,1
385,0
386,2
387,3
388,3
389,3
390,0
391,2
392,3
393,3
394,2
395,3
396,3
397,2
398,3
399,3
400,3
401,3
402,0
403,1
404,2
405,3
406,2
407,3
408,3
409,1
410,3
411,3
412,2
413,3
414,1
415,3
416,2
417,2
418,1
419,2
420,2
421,1
422,3
423,1
424,2
425,3
426,2
427,0
428,1
429,1
430,3
431,3
432,3
433,3
434,1
435,3
436,3
437,1
438,3
439,2
440,2
441,3
442,1
443,3
444,3
445,3
446,2
447,3
448,1
449,3
450,1
451,3
452,3
453,2
454,0
455,3
456,3
457,3
458,2
459,3
460,3
461,2
462,2
463,2
464,3
465,3
466,3
467,3
468,2
469,2
470,2
471,2
472,3
473,3
474,0
475,3
476,3
477,3
478,2
479,3
480,1
481,3
482,3
483,3
484,3
485,3
486,2
487,3
488,2
489,1
490,3
491,3
492,1
493,2
494,3
495,3
496,2
497,3
498,3
499,3
500,2
501,3
502,1
503,3
504,2
505,1
506,3
507,1
508,3
509,3
510,2
511,3
512,3
513,1
514,1
515,2
516,3
517,2
518,1
519,1
520,2
521,3
522,2
523,3
524,2
525,3
526,3
527,0
528,0
529,3
530,1
531,2
532,1
533,0
534,3
535,1
536,3
537,2
538,1
539,3
540,3
541,1
542,2
543,3
544,2
545,1
546,3
547,1
548,2
549,3
550,3
551,1
552,3
553,3
554,1
555,3
556,3
557,1
558,3
559,3
560,3
561,3
562,1
563,3
564,2
565,2
566,2
567,1
568,3
569,2
570,3
571,3
572,1
573,2
574,1
575,2
576,2
577,2
578,2
579,1
580,1
581,2
582,3
583,3
584,2
585,3
586,1
587,1
588,2
589,2
590,1
591,3
592,3
593,1
594,2
595,2
596,2
597,3
598,3
599,1
600,3
601,1
602,2
603,3
604,3
605,2
606,3
607,3
608,2
609,2
610,3
611,2
612,2
613,3
614,3
615,2
616,0
617,2
618,2
619,3
620,3
621,2
622,2
623,3
624,3
625,0
626,3
627,3
628,3
629,1
630,3
631,2
632,2
633,3
634,1
635,3
636,3
637,1
638,1
639,3
640,3
641,1
642,3
643,3
644,2
645,1
646,0
647,3
648,1
649,3
650,2
651,3
652,2
653,3
654,1
655,1
656,0
657,3
658,3
659,1
660,2
661,2
662,2
663,2
664,3
665,3
666,3
667,3
668,1
669,3
670,3
671,2
672,0
673,1
674,2
675,1
676,1
677,1
678,2
679,2
680,2
681,3
682,3
683,1
