Id,Prediction
1,3
2,3
3,3
4,3
5,2
6,1
7,2
8,3
9,2
10,3
11,1
12,3
13,1
14,2
15,3
16,3
17,3
18,3
19,3
20,2
21,3
22,3
23,1
24,1
25,3
26,3
27,1
28,2
29,1
30,1
31,3
32,1
33,1
34,3
35,1
36,3
37,3
38,2
39,3
40,1
41,2
42,3
43,2
44,3
45,1
46,3
47,1
48,3
49,1
50,3
51,3
52,3
53,2
54,3
55,1
56,3
57,2
58,1
59,1
60,3
61,3
62,3
63,3
64,3
65,1
66,3
67,3
68,3
69,3
70,2
71,3
72,1
73,3
74,1
75,1
76,3
77,2
78,3
79,2
80,2
81,3
82,3
83,1
84,3
85,3
86,2
87,3
88,2
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,1
101,3
102,3
103,1
104,3
105,3
106,2
107,1
108,1
109,3
110,3
111,2
112,2
113,2
114,1
115,3
116,3
117,3
118,2
119,1
120,3
121,3
122,3
123,3
124,3
125,2
126,1
127,3
128,3
129,2
130,2
131,2
132,3
133,2
134,3
135,2
136,3
137,3
138,3
139,1
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,1
148,3
149,3
150,2
151,3
152,3
153,2
154,3
155,3
156,3
157,1
158,1
159,1
160,3
161,3
162,2
163,3
164,3
165,2
166,3
167,3
168,3
169,1
170,1
171,1
172,1
173,2
174,3
175,1
176,3
177,3
178,3
179,3
180,2
181,1
182,1
183,1
184,2
185,3
186,3
187,3
188,3
189,2
190,3
191,3
192,3
193,3
194,2
195,3
196,3
197,3
198,1
199,1
200,2
201,3
202,3
203,3
204,1
205,3
206,2
207,3
208,1
209,1
210,1
211,1
212,3
213,2
214,1
215,3
216,3
217,3
218,3
219,1
220,3
221,2
222,3
223,3
224,3
225,3
226,3
227,2
228,3
229,2
230,3
231,3
232,3
233,3
234,2
235,3
236,3
237,1
238,2
239,1
240,2
241,3
242,3
243,1
244,3
245,1
246,2
247,3
248,1
249,1
250,3
251,3
252,1
253,3
254,1
255,3
256,1
257,3
258,3
259,3
260,3
261,2
262,0
263,3
264,3
265,3
266,2
267,3
268,1
269,3
270,3
271,1
272,2
273,3
274,3
275,3
276,3
277,3
278,3
279,1
280,2
281,3
282,3
283,3
284,1
285,3
286,2
287,2
288,3
289,1
290,3
291,3
292,2
293,1
294,3
295,2
296,3
297,2
298,3
299,2
300,3
301,1
302,3
303,1
304,3
305,2
306,1
307,2
308,3
309,3
310,3
311,3
312,1
313,3
314,3
315,3
316,2
317,3
318,3
319,1
320,1
321,2
322,1
323,3
324,1
325,2
326,1
327,2
328,2
329,3
330,3
331,3
332,3
333,1
334,2
335,1
336,2
337,1
338,3
339,3
340,2
341,1
342,3
343,3
344,1
345,2
346,1
347,1
348,3
349,3
350,3
351,2
352,1
353,3
354,2
355,2
356,3
357,3
358,1
359,3
360,3
361,1
362,2
363,3
364,1
365,3
366,1
367,3
368,3
369,3
370,3
371,3
372,1
373,2
374,3
375,1
376,3
377,3
378,3
379,3
380,2
381,3
382,1
383,3
384,1
385,3
386,3
387,3
388,3
389,1
390,1
391,3
392,3
393,3
394,3
395,3
396,3
397,2
398,2
399,3
400,3
401,2
402,0
403,3
404,1
405,3
406,2
407,2
408,3
409,1
410,3
411,2
412,2
413,2
414,1
415,3
416,3
417,3
418,1
419,3
420,3
421,3
422,3
423,3
424,3
425,3
426,3
427,1
428,3
429,1
430,3
431,3
432,2
433,2
434,3
435,1
436,2
437,3
438,2
439,1
440,1
441,3
442,1
443,1
444,3
445,1
446,3
447,3
448,3
449,1
450,1
451,3
452,2
453,3
454,3
455,3
456,3
457,2
458,3
459,2
460,3
461,3
462,2
463,3
464,2
465,3
466,3
467,1
468,2
469,3
470,3
471,2
472,1
473,3
474,2
475,3
476,3
477,3
478,3
479,0
480,1
481,3
482,3
483,3
484,1
485,3
486,3
487,3
488,3
489,1
490,3
491,3
492,1
493,3
494,1
495,3
496,3
497,3
498,3
499,3
500,1
501,1
502,3
503,1
504,3
505,1
506,2
507,1
508,3
509,3
510,3
511,3
512,3
513,1
514,3
515,3
516,3
517,3
518,3
519,3
520,2
521,3
522,3
523,1
524,3
525,3
526,3
527,3
528,1
529,3
530,3
531,3
532,3
533,1
534,3
535,2
536,3
537,3
538,1
539,3
540,3
541,2
542,2
543,1
544,3
545,1
546,3
547,3
548,3
549,3
550,3
551,2
552,3
553,3
554,1
555,1
556,3
557,1
558,3
559,3
560,1
561,3
562,2
563,3
564,1
565,3
566,2
567,1
568,3
569,3
570,3
571,3
572,1
573,2
574,3
575,2
576,3
577,3
578,2
579,1
580,3
581,3
582,2
583,1
584,2
585,3
586,2
587,3
588,3
589,2
590,1
591,3
592,3
593,1
594,3
595,1
596,3
597,3
598,3
599,1
600,1
601,1
602,2
603,3
604,3
605,3
606,1
607,3
608,2
609,3
610,2
611,3
612,2
613,3
614,3
615,3
616,2
617,2
618,3
619,3
620,2
621,3
622,3
623,3
624,3
625,1
626,3
627,3
628,3
629,1
630,3
631,3
632,2
633,3
634,1
635,3
636,2
637,1
638,1
639,3
640,3
641,1
642,3
643,1
644,3
645,1
646,3
647,2
648,3
649,3
650,3
651,2
652,2
653,1
654,3
655,1
656,3
657,1
658,1
659,3
660,3
661,1
662,3
663,3
664,3
665,3
666,3
667,3
668,1
669,3
670,3
671,3
672,3
673,1
674,1
675,1
676,3
677,3
678,3
679,3
680,2
681,2
682,3
683,0
