Id,Prediction
1,1
2,3
3,2
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,1
12,3
13,1
14,2
15,3
16,2
17,3
18,3
19,2
20,3
21,3
22,3
23,3
24,1
25,3
26,3
27,2
28,2
29,3
30,3
31,2
32,1
33,1
34,2
35,1
36,3
37,3
38,3
39,1
40,1
41,3
42,3
43,3
44,3
45,2
46,3
47,3
48,3
49,1
50,3
51,3
52,3
53,3
54,3
55,3
56,2
57,2
58,1
59,3
60,3
61,3
62,3
63,3
64,3
65,1
66,3
67,3
68,3
69,2
70,3
71,3
72,1
73,3
74,1
75,3
76,3
77,3
78,3
79,3
80,2
81,3
82,3
83,1
84,3
85,3
86,3
87,3
88,2
89,3
90,3
91,3
92,3
93,2
94,3
95,3
96,2
97,3
98,3
99,3
100,1
101,3
102,3
103,3
104,3
105,2
106,3
107,1
108,1
109,3
110,3
111,3
112,3
113,2
114,1
115,3
116,1
117,3
118,3
119,1
120,2
121,3
122,3
123,2
124,3
125,3
126,2
127,3
128,2
129,3
130,2
131,3
132,3
133,2
134,1
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,2
144,3
145,3
146,3
147,1
148,3
149,3
150,3
151,3
152,3
153,2
154,3
155,2
156,3
157,3
158,1
159,1
160,3
161,3
162,3
163,3
164,2
165,2
166,2
167,3
168,2
169,1
170,1
171,2
172,1
173,3
174,1
175,1
176,3
177,1
178,3
179,3
180,2
181,1
182,1
183,1
184,2
185,3
186,2
187,3
188,3
189,3
190,3
191,3
192,2
193,3
194,3
195,3
196,3
197,0
198,1
199,1
200,3
201,3
202,3
203,3
204,1
205,2
206,3
207,3
208,1
209,3
210,1
211,1
212,3
213,2
214,1
215,3
216,3
217,3
218,3
219,1
220,2
221,2
222,3
223,3
224,3
225,3
226,3
227,3
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,3
236,3
237,2
238,2
239,1
240,3
241,3
242,3
243,1
244,2
245,1
246,3
247,3
248,2
249,2
250,3
251,3
252,1
253,3
254,1
255,3
256,3
257,3
258,3
259,3
260,3
261,3
262,3
263,2
264,3
265,3
266,3
267,3
268,1
269,3
270,3
271,0
272,3
273,3
274,3
275,3
276,3
277,3
278,2
279,1
280,3
281,3
282,3
283,3
284,1
285,3
286,3
287,3
288,3
289,1
290,3
291,3
292,2
293,1
294,3
295,3
296,3
297,3
298,3
299,3
300,1
301,3
302,3
303,3
304,3
305,3
306,1
307,2
308,3
309,3
310,3
311,3
312,1
313,3
314,3
315,3
316,3
317,2
318,3
319,1
320,3
321,2
322,3
323,3
324,1
325,3
326,2
327,3
328,2
329,3
330,3
331,3
332,2
333,3
334,3
335,1
336,2
337,1
338,2
339,3
340,1
341,3
342,1
343,3
344,3
345,2
346,1
347,1
348,2
349,3
350,3
351,3
352,3
353,2
354,3
355,3
356,3
357,3
358,3
359,3
360,3
361,1
362,3
363,3
364,1
365,1
366,1
367,0
368,3
369,3
370,3
371,3
372,3
373,2
374,3
375,2
376,3
377,3
378,3
379,2
380,3
381,3
382,1
383,3
384,1
385,3
386,3
387,2
388,3
389,1
390,1
391,3
392,3
393,2
394,1
395,3
396,3
397,2
398,3
399,3
400,3
401,3
402,2
403,3
404,2
405,3
406,2
407,3
408,3
409,1
410,3
411,3
412,3
413,2
414,1
415,3
416,3
417,2
418,1
419,3
420,3
421,3
422,3
423,3
424,3
425,3
426,3
427,1
428,3
429,1
430,2
431,3
432,3
433,2
434,3
435,3
436,3
437,3
438,2
439,3
440,3
441,3
442,1
443,3
444,3
445,1
446,3
447,2
448,3
449,3
450,1
451,3
452,3
453,3
454,3
455,3
456,3
457,2
458,3
459,3
460,3
461,3
462,1
463,3
464,2
465,3
466,2
467,2
468,2
469,1
470,3
471,2
472,3
473,3
474,3
475,3
476,3
477,3
478,3
479,3
480,2
481,3
482,3
483,3
484,3
485,3
486,3
487,3
488,3
489,1
490,3
491,2
492,1
493,3
494,3
495,3
496,3
497,3
498,3
499,3
500,3
501,1
502,2
503,1
504,3
505,1
506,2
507,3
508,3
509,3
510,3
511,3
512,3
513,1
514,3
515,2
516,2
517,3
518,3
519,3
520,3
521,3
522,3
523,1
524,3
525,3
526,3
527,3
528,1
529,3
530,3
531,2
532,1
533,3
534,3
535,2
536,3
537,3
538,1
539,3
540,3
541,3
542,3
543,2
544,3
545,3
546,3
547,3
548,3
549,3
550,3
551,3
552,3
553,3
554,1
555,1
556,3
557,2
558,3
559,3
560,3
561,3
562,3
563,3
564,2
565,3
566,3
567,2
568,3
569,1
570,2
571,3
572,1
573,3
574,3
575,2
576,3
577,3
578,3
579,1
580,3
581,3
582,3
583,3
584,2
585,3
586,1
587,2
588,3
589,3
590,3
591,3
592,3
593,3
594,3
595,1
596,3
597,3
598,3
599,1
600,1
601,1
602,2
603,3
604,3
605,3
606,3
607,3
608,3
609,3
610,3
611,2
612,3
613,3
614,3
615,3
616,2
617,3
618,3
619,3
620,2
621,3
622,2
623,3
624,2
625,3
626,3
627,2
628,1
629,1
630,2
631,2
632,3
633,3
634,1
635,3
636,2
637,1
638,1
639,3
640,3
641,3
642,3
643,3
644,3
645,1
646,2
647,2
648,2
649,3
650,3
651,2
652,3
653,3
654,2
655,1
656,2
657,3
658,3
659,3
660,3
661,3
662,3
663,3
664,3
665,1
666,3
667,3
668,1
669,3
670,3
671,3
672,3
673,3
674,1
675,3
676,3
677,3
678,3
679,3
680,2
681,3
682,3
683,2
